Altium Designer Pick and Place Locations
C:\Users\vojislav\Documents\PiRA-RTC-HAT\PiRA-RTC-HAT-PCB\Project Outputs for PiRA-RTC-HAT-PCB\Pick Place\pick_and_place_fil_pira_zero_v0.3.csv

========================================================================================================================
File Design Information:

Date:       11/12/17
Time:       12:51
Revision:   Not in VersionControl
Variant:    PiRA-RTC-HAT-PCB_V0.3
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U3","DS3231M","TopLayer","SOIC127P1030X265-16N","12.0000","13.3000","90","MAXIM INTEGRATED PRODUCTS - DS3231M+TRL - RTC, I2C, WSOIC-16"
"R34","1M2","TopLayer","RES0603","38.8750","6.3500","270","MULTICOMP - MCWR06W1204FTL - RES, THICK FILM, 1.2MOHM, 1%, 0.1W"
"C3","47n","TopLayer","CAP0603","53.2000","12.6000","270","MULTICOMP - MC0603B473K500CT - CAP, MLCC, X7R, 47NF, 50V, 0603"
"U4","MCP3021","TopLayer","SOT23127P600-8N_-_DUPLICATE","30.5750","21.5000","90","MICROCHIP - MCP3021A5T-E/OT - 10BIT ADC, I2C, 1CH, SMD, SOT-23A-5"
"U2","TPS630701RNMT","TopLayer","VQFN_TPS","40.6375","16.9500","90","TEXAS INSTRUMENTS - TPS630701RNMT - DC/DC CONV, BUCK-BOOST, 2.4MHZ, VQFN-15"
"T3","2N7002,215","TopLayer","SOT23127P600-8N","20.0750","10.0000","270","NEXPERIA - 2N7002,215 - MOSFET,N CH, 60V,0.3A,SOT23"
"T2","SI7635DP-T1-GE3","TopLayer","PG-TSDSON-8","28.2095","8.4217","360","MOSFET P-CH 20V 40A PPAK SO-8"
"T1","MMBT3904","TopLayer","SOT23127P600-8N","49.9000","10.5000","360","ON SEMICONDUCTOR/FAIRCHILD - MMBT3904 - TRANSISTOR, NPN, SOT-23"
"R27","100R","TopLayer","RES0603","19.0750","6.2750","90","MULTICOMP - MC0063W06031100R - RES, THICK FILM, 100R, 1%, 0.063W, 0603"
"R26","470k","TopLayer","RES0603","30.3500","17.2250","270","MULTICOMP - MCWR06X4703FTL - RES, THICK FILM, 470K, 1%, 0.1W, 0603"
"R25","47k","TopLayer","RES0603","9.7750","6.1000","180","MULTICOMP - MCMR06X4702FTL - RES, CERAMIC, 47K, 1%, 0.1W, 0603"
"R24","0R","TopLayer","RES0603","20.1000","21.3000","90","BOURNS - CR0603-J/-000ELF - RES, THICK FILM, 0R, 5%, 0.1W, 0603"
"R23","47k","TopLayer","RES0603","24.7750","21.6000","90","MULTICOMP - MCMR06X4702FTL - RES, CERAMIC, 47K, 1%, 0.1W, 0603"
"R22","10k","TopLayer","RES0603","3.8000","9.5000","90","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"R21","10k","TopLayer","RES0603","9.9500","21.1750","270","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"R20","10k","TopLayer","RES0603","8.3250","21.2250","270","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"R19","100k","TopLayer","RES0603","19.5000","12.7250","360","MULTICOMP - MCMR06X104 JTL - RES, CERAMIC, 100K, 5%, 0.1W, 0603"
"R18","100R","TopLayer","RES0603","23.3750","12.0750","270","MULTICOMP - MC0063W06031100R - RES, THICK FILM, 100R, 1%, 0.063W, 0603"
"R17","100k","TopLayer","RES0603","20.9750","6.3000","90","MULTICOMP - MCMR06X104 JTL - RES, CERAMIC, 100K, 5%, 0.1W, 0603"
"R16","10k","TopLayer","RES0603","44.5750","9.4500","360","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"R15","33k","TopLayer","RES0603","53.9000","21.5000","90","MULTICOMP - MCWR06X3302FTL - RES, THICK FILM, 33K, 1%, 0.1W, 0603"
"R14","0R","TopLayer","RES0603","62.5060","16.9910","180","BOURNS - CR0603-J/-000ELF - RES, THICK FILM, 0R, 5%, 0.1W, 0603"
"R13","470R","TopLayer","RES0603","59.5000","21.5000","270","MULTICOMP - MCMR06X471 JTL - RES, CERAMIC, 470R, 5%, 0.1W, 0603"
"R12","10k","TopLayer","RES0603","46.0000","12.1000","90","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"R10","10k","TopLayer","RES0603","44.7000","17.6000","180","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"R9","470k","TopLayer","RES0603","44.7000","16.0000","180","MULTICOMP - MCWR06X4703FTL - RES, THICK FILM, 470K, 1%, 0.1W, 0603"
"R8","150k","TopLayer","RES0603","44.7000","20.8000","180","MULTICOMP - MCWR06X1503FTL - RES, THICK FILM, 150KOHM, 1%, 0.1W"
"R7","220R","TopLayer","RES0603","57.4000","21.5000","270","MULTICOMP - MCWR06X2200FTL - RES, THICK FILM, 220R, 1%, 0.1W, 0603"
"R6","5k6","TopLayer","RES0603","55.7000","21.5000","90","MULTICOMP - MCMR06X5601FTL - RES, CERAMIC, 5K6, 1%, 0.1W, 0603"
"R5","10k","TopLayer","RES0603","61.4000","21.5000","90","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"R4","3k9","TopLayer","RES0603","44.3250","12.1000","270","MULTICOMP - MCWR06X3901FTL - RES, THICK FILM, 3K9, 1%, 0.1W, 0603"
"R3","0R","TopLayer","RES0603","44.7000","22.4000","180","BOURNS - CR0603-J/-000ELF - RES, THICK FILM, 0R, 5%, 0.1W, 0603"
"R2","0R","TopLayer","RES0603","62.5060","15.2400","180","BOURNS - CR0603-J/-000ELF - RES, THICK FILM, 0R, 5%, 0.1W, 0603"
"R1","470R","TopLayer","RES0603","62.5000","12.3000","180","MULTICOMP - MCMR06X471 JTL - RES, CERAMIC, 470R, 5%, 0.1W, 0603"
"L2","1.5uH","TopLayer","FDSD0402","33.6250","17.0250","180","MURATA - FDSD0420-H-1R5M=P3 - INDUCTOR, SHIELDED, 1.5UH, 5.1A, 20%"
"L1","1.5uH","TopLayer","FDSD0402","49.6000","15.5000","180","MURATA - FDSD0420-H-1R5M=P3 - INDUCTOR, SHIELDED, 1.5UH, 5.1A, 20%"
"D2","3V","TopLayer","SOD-323_2L","42.4450","12.2950","270","ON SEMICONDUCTOR - MM3Z3V0T1G - ZENER DIODE, 200MW, 3V, SOD-323"
"D1","LED RED","TopLayer","LED0603","62.5000","10.5000","180","BROADCOM LIMITED - HSMS-C190 - LED, RED, 10MCD, 626NM"
"C13","100nF","TopLayer","CAP0603","27.9750","21.2250","90","MURATA - GRM188R71C104KA01J - CAP, MLCC, X7R, 0.1UF, 16V, 0603"
"C12","100nF","TopLayer","CAP0603","44.7311","19.1775","180","MURATA - GRM188R71C104KA01J - CAP, MLCC, X7R, 0.1UF, 16V, 0603"
"C11","10uF /16V","TopLayer","CAP0805","37.1250","19.2750","90","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C10","22u","TopLayer","CAP0805","35.2000","22.1000","360","MULTICOMP - MC0805X226M6R3CT - CAP, MLCC, X5R, 22UF, 0805"
"C9","22u","TopLayer","CAP0805","38.8500","22.1000","180","MULTICOMP - MC0805X226M6R3CT - CAP, MLCC, X5R, 22UF, 0805"
"C8","22u","TopLayer","CAP0805","38.5500","11.9000","180","MULTICOMP - MC0805X226M6R3CT - CAP, MLCC, X5R, 22UF, 0805"
"C7","22u","TopLayer","CAP0805","35.0000","11.9000","360","MULTICOMP - MC0805X226M6R3CT - CAP, MLCC, X5R, 22UF, 0805"
"C6","10uF /16V","TopLayer","CAP0805","37.1250","14.7000","270","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C5","10uF /16V","TopLayer","CAP0805","48.7000","20.4000","90","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C4","10uF /16V","TopLayer","CAP0805","51.1000","20.4000","90","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C2","4u7/16V","TopLayer","CAP0603","55.7000","10.6000","270","MURATA - GRM188R61C475KAAJD - CAP, MLCC, X5R, 4.7UF, 16V, 0603"
"C1","10uF /16V","TopLayer","CAP0805","57.8000","11.0000","270","TDK - CGA4J1X5R1C106K125AC - CAP, MLCC, X5R, 10UF, 16V, 0805"
"C14","100nF","TopLayer","CAP0603","16.0500","6.1500","360","MURATA - GRM188R71C104KA01J - CAP, MLCC, X7R, 0.1UF, 16V, 0603"
"D4","RS1J-E3/61T..","TopLayer","SMC/DO-214AC","36.1000","9.4000","180","VISHAY - RS1J-E3/61T.. - DIODE, FAST, 1A, 600V, SMD"
"D6","BZT52C6V2","TopLayer","SOD123","58.7000","7.8000","360","DIODES INC. - BZT52C6V2 - DIODE, ZENER, 6.2V, 0.5W, SOD-123"
"R28","0R","TopLayer","RES0603","11.5750","21.1750","90","BOURNS - CR0603-J/-000ELF - RES, THICK FILM, 0R, 5%, 0.1W, 0603"
"R29","470k","TopLayer","RES0603","28.8000","17.2250","90","MULTICOMP - MCWR06X4703FTL - RES, THICK FILM, 470K, 1%, 0.1W, 0603"
"R30","10R","TopLayer","RES0603","62.6000","8.0000","180","VISHAY - RCA060310R0FKEA - RES, AUTO, THICK FILM, 10R, 1%, 0603"
"R31","169k","TopLayer","RES0603","25.1250","13.3250","270","VISHAY - CRCW0603169KFKEA. - RES, THICK FILM, 169K, 1%, 0.1W, 0603"
"U5","DMG6602SVT","TopLayer","TSOT26","25.9500","17.7250","270","DIODES INC. - DMG6602SVT - MOSFET, NP CH, , 30V, 3.4, ATSOT23"
"U6","DMG6602SVT","TopLayer","TSOT26","22.4000","17.7000","270","DIODES INC. - DMG6602SVT - MOSFET, NP CH, , 30V, 3.4, ATSOT23"
"U8","TPL5110","TopLayer","SOT236","28.2750","13.0250","0","TEXAS INSTRUMENTS - TPL5110DDCT - NANO TIMER, SINGLE, 5.5V, SOT-23-6"
"F1","3A","BottomLayer","CHIP2PINSM127P600-8N","35.4750","7.4500","180","LITTELFUSE - MINISMDC150F/24-2 - POLYSWITCH, SMD, 1812, 1.5A"
"U7","Lora RFM95","BottomLayer","LORA_MODULE1","15.8250","15.2250","90","RFM95 ULTRA-LONG RANGE TRANSCEIV"
"U1","BQ24296RGET","TopLayer","QFN4X4","57.0000","16.1000","360","IC LI+ CHARGER PWR MGMT 24VQFN"
"C15","1uF","TopLayer","CAP0603","44.7500","14.4250","180","MURATA - GRM188R61H105KAALD - CAP, MLCC, X5R, 1UF, 50V, 0603"
"D3","1N4148W-7-F.","TopLayer","SOD123","35.6000","6.3500","180","DIODES INC. - 1N4148W-7-F. - DIODE, SWITCH, 300MA, 100V,SOD123"
"D7","SE30AFG-M3/6A","TopLayer","SODFL127P600-8N","52.2000","7.1000","180","VISHAY - SE30AFG-M3/6A - RECTIFIER, ESD, 400V, 3A, DO-221AC"
"R11","10k","TopLayer","RES0603","31.1000","12.2750","90","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"R32","470k","TopLayer","RES0603","18.3500","17.6500","90","MULTICOMP - MCWR06X4703FTL - RES, THICK FILM, 470K, 1%, 0.1W, 0603"
"R33","470k","TopLayer","RES0603","19.8750","17.6500","270","MULTICOMP - MCWR06X4703FTL - RES, THICK FILM, 470K, 1%, 0.1W, 0603"
"R35","10k","TopLayer","RES0603","16.2750","21.2250","90","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"R36","10k","TopLayer","RES0603","14.6500","21.2250","90","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"R37","10k","TopLayer","RES0603","13.1000","21.1750","90","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"R38","100k","TopLayer","RES0603","22.0500","21.3250","270","MULTICOMP - MCMR06X104 JTL - RES, CERAMIC, 100K, 5%, 0.1W, 0603"
"R39","10k","TopLayer","RES0603","12.8750","6.1750","180","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"R40","10k","TopLayer","RES0603","26.4500","21.5750","270","MULTICOMP - MCMR06X103 JTL - RES, CERAMIC, 10K, 5%, 0.1W, 0603"
"D5","SE30AFG-M3/6A","TopLayer","SODFL127P600-8N","45.9000","7.1000","180","VISHAY - SE30AFG-M3/6A - RECTIFIER, ESD, 400V, 3A, DO-221AC"
